iter	Passed	Remaining
0	174	174641
1	178	88974
2	182	60523
3	185	46153
4	188	37452
5	191	31702
6	194	27550
7	197	24450
8	200	22110
9	204	20213
10	207	18637
11	210	17294
12	213	16177
13	216	15227
14	219	14415
15	222	13703
16	226	13083
17	229	12508
18	232	11982
19	234	11481
20	236	11002
21	240	10671
22	243	10334
23	246	10036
24	248	9694
25	251	9415
26	254	9178
27	257	8949
28	260	8730
29	262	8472
30	264	8253
31	266	8062
32	269	7902
33	272	7750
34	276	7616
35	279	7480
36	282	7351
37	285	7223
38	287	7077
39	289	6959
40	292	6843
41	295	6736
42	298	6643
43	301	6551
44	304	6452
45	306	6350
46	308	6256
47	310	6164
48	313	6077
49	314	5983
50	316	5896
51	318	5815
52	321	5741
53	323	5674
54	326	5617
55	329	5558
56	332	5496
57	334	5439
58	337	5381
59	339	5325
60	342	5278
61	346	5243
62	349	5192
63	352	5149
64	354	5102
65	357	5056
66	359	5003
67	361	4955
68	364	4921
69	368	4899
70	373	4882
71	376	4852
72	380	4830
73	384	4816
74	388	4786
75	391	4757
76	394	4723
77	396	4690
78	399	4656
79	402	4627
80	404	4589
81	406	4555
82	409	4526
83	412	4501
84	414	4464
85	417	4440
86	419	4403
87	422	4375
88	424	4349
89	427	4323
90	430	4296
91	433	4273
92	435	4249
93	438	4226
94	441	4203
95	443	4178
96	446	4154
97	448	4130
98	451	4107
99	454	4088
100	457	4067
101	458	4035
102	461	4015
103	463	3995
104	466	3976
105	469	3956
106	471	3937
107	474	3917
108	477	3902
109	480	3883
110	482	3867
111	485	3849
112	488	3830
113	489	3806
114	492	3788
115	494	3772
116	498	3759
117	500	3743
118	503	3725
119	505	3710
120	509	3698
121	511	3684
122	513	3660
123	516	3646
124	519	3633
125	521	3618
126	524	3605
127	526	3584
128	528	3569
129	531	3555
130	533	3539
131	536	3528
132	539	3516
133	542	3502
134	544	3490
135	547	3478
136	550	3465
137	552	3449
138	554	3436
139	557	3425
140	560	3413
141	563	3402
142	565	3390
143	568	3379
144	570	3366
145	573	3354
146	576	3344
147	579	3335
148	582	3324
