iter	Passed	Remaining
0	273	273667
1	276	137980
2	278	92709
3	282	70287
4	284	56651
5	286	47510
6	288	40993
7	291	36122
8	294	32474
9	297	29440
10	299	26935
11	301	24846
12	304	23085
13	306	21568
14	309	20322
15	311	19180
16	314	18159
17	316	17251
18	318	16465
19	322	15826
20	326	15222
21	329	14635
22	331	14089
23	334	13614
24	339	13235
25	342	12811
26	343	12368
27	344	11962
28	345	11580
29	347	11241
30	350	10947
31	352	10654
32	353	10354
33	354	10068
34	355	9793
35	356	9536
36	357	9292
37	357	9062
38	358	8843
39	359	8637
40	360	8436
41	363	8298
42	367	8172
43	368	8017
44	370	7871
45	373	7742
46	375	7605
47	377	7478
48	380	7386
49	382	7266
50	384	7151
51	386	7038
52	387	6929
53	389	6823
54	391	6723
55	394	6656
56	397	6577
57	400	6500
58	402	6419
59	404	6339
60	406	6262
61	409	6192
62	410	6112
63	412	6033
64	414	5966
65	416	5896
66	418	5829
67	420	5763
68	423	5717
69	425	5654
70	427	5593
71	429	5532
72	431	5473
73	432	5414
74	434	5357
75	436	5303
76	439	5263
77	440	5211
78	443	5168
79	445	5123
80	447	5073
81	448	5024
82	449	4967
83	451	4927
84	453	4884
85	455	4836
86	457	4799
87	459	4758
88	461	4719
89	462	4678
90	464	4637
91	466	4601
92	468	4568
93	470	4532
94	471	4491
95	472	4451
96	473	4411
97	474	4371
98	475	4331
99	476	4292
100	477	4253
101	478	4216
102	479	4179
103	482	4159
104	484	4129
105	485	4098
106	487	4068
107	488	4036
108	489	4004
109	491	3972
110	492	3940
111	493	3909
112	494	3878
113	495	3848
114	498	3836
115	499	3809
116	500	3778
117	501	3749
118	502	3720
119	503	3691
120	504	3662
121	504	3633
122	505	3605
123	506	3579
124	507	3554
125	508	3530
126	509	3504
127	511	3482
128	513	3466
129	514	3442
130	515	3417
131	516	3393
132	516	3369
133	517	3346
134	518	3323
135	519	3300
136	520	3277
137	521	3256
138	522	3234
139	522	3212
140	524	3192
141	524	3170
142	527	3158
143	528	3142
144	529	3124
145	531	3107
146	532	3089
147	533	3071
148	534	3055
149	536	3038
150	537	3021
151	538	3005
152	539	2988
153	542	2977
154	543	2962
155	544	2946
156	545	2930
157	546	2914
158	547	2897
159	548	2881
160	549	2863
161	550	2848
162	551	2832
163	552	2816
164	553	2801
165	554	2786
166	556	2775
167	558	2764
168	559	2749
169	560	2735
170	561	2721
171	562	2707
172	563	2693
173	564	2679
174	565	2665
175	566	2653
176	567	2639
177	568	2626
178	570	2616
179	572	2606
180	573	2595
181	574	2583
182	576	2572
183	577	2560
184	578	2548
185	579	2536
186	581	2526
187	582	2514
188	583	2503
189	585	2495
190	587	2489
191	589	2480
192	590	2470
193	592	2459
194	593	2450
195	595	2442
196	596	2433
197	598	2423
198	600	2418
199	602	2408
200	603	2399
201	605	2390
202	606	2380
203	607	2370
204	608	2360
205	609	2349
206	610	2339
207	611	2330
208	612	2319
209	615	2314
210	616	2304
211	617	2295
212	618	2285
213	619	2275
214	620	2265
215	621	2256
216	622	2246
217	623	2236
218	624	2225
219	625	2217
220	626	2208
221	627	2200
222	630	2195
223	630	2185
224	631	2175
225	632	2165
226	632	2155
227	633	2145
228	634	2135
229	634	2125
230	635	2116
231	636	2107
232	637	2097
233	637	2087
234	638	2078
235	639	2069
236	639	2060
237	640	2051
238	641	2041
239	642	2035
240	645	2031
241	646	2024
242	647	2018
243	649	2012
244	650	2005
245	652	1998
246	653	1990
247	654	1983
248	655	1976
249	656	1968
250	657	1961
251	659	1956
252	660	1949
253	660	1941
254	661	1933
255	662	1925
256	663	1918
257	664	1910
258	665	1903
259	665	1895
260	666	1887
261	667	1879
262	667	1871
263	668	1863
264	669	1855
265	669	1848
266	670	1840
267	670	1832
268	673	1829
269	675	1825
270	676	1820
271	677	1813
272	678	1806
273	679	1799
274	679	1792
275	680	1784
276	681	1777
277	681	1770
278	682	1763
279	683	1756
280	683	1749
281	684	1742
282	685	1735
283	685	1728
284	686	1723
285	688	1718
286	689	1712
287	689	1705
288	690	1699
289	691	1693
290	692	1686
291	693	1680
292	693	1673
293	694	1667
294	695	1661
295	695	1654
296	696	1648
297	697	1642
298	698	1636
299	698	1630
300	699	1624
301	700	1618
302	701	1614
303	702	1609
304	703	1603
305	704	1597
306	705	1591
307	705	1586
308	706	1580
309	707	1574
310	707	1568
311	708	1562
312	709	1556
313	709	1550
314	710	1545
315	711	1539
316	711	1533
317	712	1527
318	713	1522
319	713	1516
320	714	1511
321	715	1506
322	716	1502
323	717	1497
324	718	1492
325	719	1487
326	720	1482
327	721	1477
328	722	1473
329	723	1468
330	724	1464
331	726	1462
332	727	1457
333	728	1453
334	730	1449
335	731	1446
336	733	1442
337	734	1437
338	735	1433
339	735	1428
340	736	1423
341	737	1419
342	738	1414
343	739	1410
344	740	1405
345	741	1401
346	742	1396
347	742	1391
348	743	1386
349	744	1382
350	746	1379
351	747	1375
352	747	1370
353	748	1366
354	749	1361
355	750	1356
356	750	1352
357	751	1347
358	752	1343
359	753	1338
360	753	1334
361	754	1329
362	755	1324
363	755	1320
364	756	1315
365	756	1311
366	757	1306
367	758	1302
368	758	1297
369	760	1294
370	761	1291
371	762	1287
372	763	1283
373	764	1279
374	765	1275
375	765	1271
376	766	1266
377	767	1262
378	767	1258
379	768	1254
380	769	1249
381	769	1245
382	770	1241
383	771	1237
384	771	1232
385	772	1228
386	773	1224
387	774	1221
388	775	1218
389	776	1214
390	777	1210
391	777	1206
392	778	1202
393	779	1198
394	779	1194
395	780	1190
396	781	1186
397	781	1182
398	782	1178
399	783	1174
400	783	1171
401	784	1167
402	785	1163
403	785	1159
404	786	1155
405	787	1151
406	788	1148
407	789	1146
408	790	1142
409	791	1138
410	792	1135
411	792	1131
412	793	1127
413	794	1124
414	794	1120
415	795	1116
416	796	1112
417	796	1109
418	797	1105
419	798	1102
420	798	1098
421	799	1094
422	799	1091
423	800	1087
424	801	1084
425	802	1080
426	803	1077
427	804	1075
428	805	1071
429	805	1068
430	806	1064
431	807	1061
432	807	1058
433	808	1054
434	809	1051
435	810	1047
436	810	1044
437	811	1041
438	812	1037
439	812	1034
440	813	1031
441	814	1027
442	815	1024
443	815	1021
444	816	1018
445	817	1015
446	819	1013
447	820	1010
448	821	1007
449	821	1004
450	822	1001
451	823	998
452	823	994
453	824	991
454	825	988
455	825	985
456	826	982
457	827	978
458	827	975
459	828	972
460	829	970
461	830	967
462	831	964
463	834	963
464	835	960
465	836	958
466	837	955
467	838	953
468	839	950
469	840	948
470	841	945
471	843	943
472	844	941
473	845	938
474	847	937
475	849	934
476	850	932
477	851	930
478	853	928
479	854	925
480	855	922
481	856	920
482	857	917
483	858	915
484	860	913
485	860	910
486	863	909
487	864	906
488	865	904
489	866	901
490	867	899
491	868	897
492	870	894
493	871	892
494	872	889
495	873	887
496	874	885
497	875	882
498	878	882
499	879	879
500	880	877
501	881	874
502	882	871
503	883	869
504	884	866
505	885	864
506	886	861
507	887	859
508	888	856
509	889	854
510	890	851
511	892	850
512	894	848
513	895	846
514	896	844
515	897	842
516	899	840
517	900	837
518	901	835
519	902	832
520	903	830
521	904	828
522	907	827
523	908	825
524	909	823
525	911	821
526	912	818
527	913	816
528	914	814
529	916	812
530	917	810
531	918	808
532	920	806
533	922	804
534	923	802
535	924	800
536	926	798
537	927	796
538	928	794
539	929	791
540	930	789
541	931	787
542	933	785
543	934	783
544	937	782
545	939	780
546	940	778
547	941	776
548	942	774
549	943	772
550	944	769
551	945	767
552	946	764
553	947	762
554	948	760
555	949	757
556	950	756
557	952	754
558	953	752
559	954	750
560	955	747
561	956	745
562	957	743
563	958	741
564	959	739
565	960	736
566	961	734
567	962	732
568	963	730
569	965	728
570	967	726
571	968	724
572	969	722
573	970	720
574	971	717
575	972	715
576	972	713
577	973	710
578	974	708
579	974	705
580	975	703
581	976	701
582	977	698
583	977	696
584	978	694
585	980	692
586	981	690
587	982	688
588	984	686
589	985	684
590	986	682
591	987	680
592	988	678
593	989	676
594	990	674
595	991	672
596	992	670
597	993	667
598	995	666
599	996	664
600	996	661
601	997	659
602	998	657
603	999	655
604	1000	652
605	1000	650
606	1001	648
607	1002	646
608	1002	643
609	1004	641
610	1005	639
611	1006	637
612	1006	635
613	1007	633
614	1009	632
615	1011	630
616	1012	628
617	1013	626
618	1014	624
619	1015	622
620	1016	620
621	1017	618
622	1018	616
623	1019	614
624	1019	611
625	1020	609
626	1021	607
627	1022	605
628	1022	603
629	1024	601
630	1025	599
631	1026	597
632	1027	595
633	1028	593
634	1029	591
635	1030	590
636	1032	588
637	1033	586
638	1035	584
639	1036	582
640	1040	582
641	1041	580
642	1043	579
643	1044	577
644	1045	575
645	1046	573
646	1047	571
647	1048	569
648	1049	567
649	1049	565
650	1050	563
651	1051	561
652	1052	559
653	1053	557
654	1054	555
655	1055	553
656	1056	551
657	1056	549
658	1057	547
659	1058	545
660	1059	543
661	1059	541
662	1060	539
663	1061	537
664	1061	534
665	1062	532
666	1063	530
667	1063	528
668	1064	526
669	1065	524
670	1065	522
671	1066	520
672	1067	518
673	1069	517
674	1070	515
675	1071	513
676	1072	511
677	1073	509
678	1076	508
679	1076	506
680	1077	504
681	1078	502
682	1079	500
683	1079	498
684	1080	496
685	1081	494
686	1082	493
687	1083	491
688	1084	489
689	1085	487
690	1085	485
691	1086	483
692	1087	481
693	1087	479
694	1088	477
695	1089	475
696	1090	474
697	1091	472
698	1092	470
699	1092	468
700	1093	466
701	1094	464
702	1095	462
703	1097	461
704	1098	459
705	1099	457
706	1100	455
707	1100	454
708	1101	452
709	1102	450
710	1103	448
711	1103	446
712	1104	444
713	1105	442
714	1105	440
715	1106	438
716	1107	437
717	1107	435
718	1108	433
719	1109	431
720	1110	429
721	1112	428
722	1113	426
723	1114	424
724	1115	423
725	1116	421
726	1116	419
727	1117	417
728	1118	415
729	1119	413
730	1120	412
731	1120	410
732	1121	408
733	1122	406
734	1122	404
735	1123	403
736	1124	401
737	1128	400
738	1129	398
739	1130	397
740	1131	395
741	1132	393
